Timestamp,Barometer (kPA),Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),pH_1 (Units),Temperature (C),Comment,Site,Folder,Unit ID
8/20/2015 7:44,97.7,511,7.36,8.65,21.9,,MEDH,0,POSEIDON
8/20/2015 7:44,97.7,517,6.21,8.65,23.1,,MEDH,0,POSEIDON
8/20/2015 7:44,97.69,517,6.4,8.65,23.2,,MEDH,1,POSEIDON
8/20/2015 7:44,97.69,517,6.31,8.65,23.2,,MEDH,2,POSEIDON
8/20/2015 7:46,97.69,517,6.43,8.66,23.2,,MEDH,3,POSEIDON
8/20/2015 7:46,97.69,517,6.43,8.67,23.2,,MEDH,3,POSEIDON
8/20/2015 7:46,97.68,517,6.61,8.67,23.2,,MEDH,4,POSEIDON
8/20/2015 7:47,97.68,517,6.5,8.68,23.2,,MEDH,5,POSEIDON
8/20/2015 7:48,97.72,517,6.62,8.68,23.2,,MEDH,6,POSEIDON
8/20/2015 7:49,97.72,517,6.54,8.67,23.2,,MEDH,7,POSEIDON
8/20/2015 7:50,97.71,517,6.55,8.68,23.2,,MEDH,8,POSEIDON
8/20/2015 7:50,97.71,517,6.54,8.67,23.2,,MEDH,9,POSEIDON
8/20/2015 7:51,97.71,517,6.42,8.67,23.2,,MEDH,10,POSEIDON
8/20/2015 7:52,97.71,524,4.35,8.47,22.8,,MEDH,11,POSEIDON
8/20/2015 7:53,97.72,558,0.46,7.78,17.5,,MEDH,12,POSEIDON
8/20/2015 7:54,97.72,569,0.41,7.71,15.4,,MEDH,13,POSEIDON
8/20/2015 7:54,97.73,571,0.39,7.69,13.5,,MEDH,14,POSEIDON
8/20/2015 7:55,97.72,576,0.4,7.62,12.1,,MEDH,15,POSEIDON
8/20/2015 7:56,97.72,580,0.39,7.57,11.6,,MEDH,16,POSEIDON
8/20/2015 7:56,97.71,587,0.44,7.49,11,,MEDH,17,POSEIDON
8/20/2015 7:57,97.72,584,0.42,7.44,11.3,,MEDH,17,POSEIDON
8/20/2015 7:57,97.72,590,0.42,7.41,10.9,,MEDH,18,POSEIDON
8/20/2015 7:58,97.72,607,0.41,7.35,10.7,,MEDH,19,POSEIDON
8/20/2015 7:58,97.73,646,0.41,7.05,10.6,,MEDH,20,POSEIDON
8/20/2015 13:15,98.04,516,7.07,8.71,23.2,,MEDH,0,POSEIDON
8/20/2015 13:15,98.03,516,7.05,8.71,23.2,,MEDH,1,POSEIDON
8/20/2015 13:16,98.05,516,7.04,8.72,23.2,,MEDH,2,POSEIDON
8/20/2015 13:17,98.05,516,7.08,8.72,23.2,,MEDH,3,POSEIDON
8/20/2015 13:18,98.05,516,7.01,8.72,23.2,,MEDH,4,POSEIDON
8/20/2015 13:18,98.04,516,7.07,8.72,23.2,,MEDH,5,POSEIDON
8/20/2015 13:19,98.05,516,7.11,8.73,23.2,,MEDH,6,POSEIDON
8/20/2015 13:20,98.04,516,6.96,8.71,23.2,,MEDH,7,POSEIDON
8/20/2015 13:21,98.05,516,7.03,8.72,23.2,,MEDH,8,POSEIDON
8/20/2015 13:22,98.05,516,6.98,8.71,23.2,,MEDH,9,POSEIDON
8/20/2015 13:23,98.05,516,7.04,8.72,23.2,,MEDH,10,POSEIDON
8/20/2015 13:25,98.05,518,6.59,8.67,23,,MEDH,11,POSEIDON
8/20/2015 13:26,98.05,518,6.54,8.67,23,,MEDH,12,POSEIDON
8/20/2015 13:27,98.05,518,6.62,8.68,23,,MEDH,13,POSEIDON
8/20/2015 13:27,98.06,572,0.12,7.71,15.3,,MEDH,14,POSEIDON
8/20/2015 13:28,98.05,572,0.11,7.7,14.2,,MEDH,15,POSEIDON
8/20/2015 13:28,98.04,571,0.14,7.68,15.4,,MEDH,16,POSEIDON
8/20/2015 13:29,98.04,566,0.08,7.7,16.8,,MEDH,17,POSEIDON
8/20/2015 13:30,98.04,573,0.11,7.61,12.9,,MEDH,18,POSEIDON
8/20/2015 13:30,98.04,585,0.09,7.42,12.1,,MEDH,19,POSEIDON
8/20/2015 13:31,98.04,705,0.09,6.94,11.5,,MEDH,20,POSEIDON
8/20/2015 17:41,98.17,515,7.76,8.76,23.3,,MEDH,0,POSEIDON
8/20/2015 17:42,98.18,515,7.71,8.76,23.3,,MEDH,1,POSEIDON
8/20/2015 17:42,98.18,515,7.72,8.76,23.3,,MEDH,2,POSEIDON
8/20/2015 17:43,98.18,515,7.58,8.75,23.3,,MEDH,3,POSEIDON
8/20/2015 17:44,98.17,515,7.61,8.76,23.3,,MEDH,4,POSEIDON
8/20/2015 17:45,98.17,515,7.57,8.75,23.3,,MEDH,5,POSEIDON
8/20/2015 17:45,98.18,516,7.41,8.73,23.2,,MEDH,6,POSEIDON
8/20/2015 17:46,98.17,516,7.37,8.74,23.2,,MEDH,7,POSEIDON
8/20/2015 17:46,98.17,516,7.3,8.72,23.2,,MEDH,8,POSEIDON
8/20/2015 17:47,98.18,516,7.34,8.73,23.2,,MEDH,9,POSEIDON
8/20/2015 17:47,98.17,516,7.3,8.72,23.2,,MEDH,10,POSEIDON
8/20/2015 17:48,98.18,516,7.12,8.7,23.1,,MEDH,11,POSEIDON
8/20/2015 17:49,98.17,567,0.11,7.72,15.9,,MEDH,12,POSEIDON
8/20/2015 17:51,98.18,573,0.07,7.64,13.6,,MEDH,13,POSEIDON
8/20/2015 17:51,98.18,573,0.07,7.64,12.8,,MEDH,14,POSEIDON
8/20/2015 17:52,98.19,578,0.06,7.6,11.9,,MEDH,15,POSEIDON
8/20/2015 17:52,98.18,582,0.06,7.52,11.4,,MEDH,16,POSEIDON
8/20/2015 17:52,98.18,589,0.05,7.47,11,,MEDH,17,POSEIDON
8/20/2015 17:53,98.18,592,0.06,7.46,11,,MEDH,18,POSEIDON
8/20/2015 17:53,98.18,594,0.06,7.46,11,,MEDH,19,POSEIDON
8/20/2015 17:53,98.19,593,0.05,7.47,11,,MEDH,20,POSEIDON
8/20/2015 23:36,98.52,515,7.34,8.73,23.1,,MEDH,0,POSEIDON
8/20/2015 23:36,98.51,515,7.35,8.74,23.1,,MEDH,1,POSEIDON
8/20/2015 23:36,98.52,515,7.37,8.74,23.1,,MEDH,2,POSEIDON
8/20/2015 23:37,98.52,515,7.37,8.75,23.1,,MEDH,3,POSEIDON
8/20/2015 23:37,98.52,515,7.41,8.75,23.1,,MEDH,4,POSEIDON
8/20/2015 23:38,98.51,515,7.35,8.75,23.1,,MEDH,5,POSEIDON
8/20/2015 23:39,98.51,515,7.3,8.74,23.1,,MEDH,5,POSEIDON
8/20/2015 23:39,98.51,515,7.38,8.75,23.1,,MEDH,6,POSEIDON
8/20/2015 23:40,98.52,517,6.94,8.7,23,,MEDH,7,POSEIDON
8/20/2015 23:40,98.51,519,6.2,8.62,22.8,,MEDH,8,POSEIDON
8/20/2015 23:41,98.51,521,4.86,8.5,22.6,,MEDH,9,POSEIDON
8/20/2015 23:41,98.5,553,0.14,7.86,18.8,,MEDH,10,POSEIDON
8/20/2015 23:42,98.51,572,0.09,7.69,13.5,,MEDH,11,POSEIDON
8/20/2015 23:42,98.52,573,0.07,7.68,12.8,,MEDH,12,POSEIDON
8/20/2015 23:43,98.51,575,0.07,7.64,12.2,,MEDH,13,POSEIDON
8/20/2015 23:43,98.5,576,0.06,7.63,12,,MEDH,14,POSEIDON
8/20/2015 23:44,98.51,582,0.06,7.57,11.6,,MEDH,15,POSEIDON
8/20/2015 23:44,98.51,584,0.06,7.54,11.4,,MEDH,16,POSEIDON
8/20/2015 23:45,98.51,588,0.06,7.49,11.2,,MEDH,17,POSEIDON
8/20/2015 23:45,98.52,591,0.07,7.52,11.1,,MEDH,18,POSEIDON
8/20/2015 23:45,98.51,591,0.07,7.5,11.1,,MEDH,19,POSEIDON
8/20/2015 23:46,98.51,592,0.07,7.51,11.1,,MEDH,20,POSEIDON
8/21/2015 2:43,98.62,512,6.29,8.72,22.8,,MEDH,0,POSEIDON
8/21/2015 2:44,98.62,515,6.67,8.73,22.9,,MEDH,1,POSEIDON
8/21/2015 2:44,98.62,515,6.62,8.73,23,,MEDH,2,POSEIDON
8/21/2015 2:45,98.63,515,6.89,8.73,23,,MEDH,3,POSEIDON
8/21/2015 2:45,98.63,516,6.98,8.74,23,,MEDH,4,POSEIDON
8/21/2015 2:45,98.63,516,7.01,8.73,23,,MEDH,5,POSEIDON
8/21/2015 2:46,98.63,516,6.52,8.74,23,,MEDH,6,POSEIDON
8/21/2015 2:46,98.63,516,6.76,8.74,23,,MEDH,7,POSEIDON
8/21/2015 2:46,98.63,516,6.95,8.74,23,,MEDH,8,POSEIDON
8/21/2015 2:47,98.62,517,6.58,8.69,22.9,,MEDH,9,POSEIDON
8/21/2015 2:47,98.63,518,6.61,8.67,22.8,,MEDH,10,POSEIDON
8/21/2015 2:48,98.63,531,1.78,8.21,21.1,,MEDH,11,POSEIDON
8/21/2015 2:49,98.63,575,0.12,7.76,13.4,,MEDH,12,POSEIDON
8/21/2015 2:49,98.62,575,0.08,7.7,12.7,,MEDH,13,POSEIDON
8/21/2015 2:49,98.63,576,0.07,7.67,12.3,,MEDH,14,POSEIDON
8/21/2015 2:50,98.63,577,0.07,7.63,12,,MEDH,15,POSEIDON
8/21/2015 2:50,98.62,582,0.06,7.58,11.5,,MEDH,16,POSEIDON
8/21/2015 2:50,98.62,586,0.05,7.55,11.4,,MEDH,17,POSEIDON
8/21/2015 2:51,98.62,586,0.06,7.54,11.4,,MEDH,18,POSEIDON
8/21/2015 2:51,98.62,586,0.05,7.54,11.4,,MEDH,19,POSEIDON
8/21/2015 2:51,98.63,586,0.06,7.53,11.4,,MEDH,20,POSEIDON
8/21/2015 6:31,98.68,515,6.8,8.72,22.9,,MEDH,0,POSEIDON
8/21/2015 6:31,98.68,515,6.92,8.73,22.9,,MEDH,1,POSEIDON
8/21/2015 6:31,98.68,515,7.02,8.74,22.9,,MEDH,2,POSEIDON
8/21/2015 6:32,98.68,515,6.95,8.74,22.9,,MEDH,3,POSEIDON
8/21/2015 6:32,98.68,515,7,8.74,22.9,,MEDH,4,POSEIDON
8/21/2015 6:33,98.68,515,7.03,8.74,22.9,,MEDH,5,POSEIDON
8/21/2015 6:33,98.68,515,6.81,8.74,22.9,,MEDH,6,POSEIDON
8/21/2015 6:33,98.68,515,6.81,8.74,22.9,,MEDH,7,POSEIDON
8/21/2015 6:34,98.69,516,7.03,8.75,22.8,,MEDH,8,POSEIDON
8/21/2015 6:35,98.69,516,6.86,8.74,22.8,,MEDH,9,POSEIDON
8/21/2015 6:36,98.68,520,5.31,8.58,22.5,,MEDH,10,POSEIDON
8/21/2015 6:36,98.68,571,0.16,7.74,14.9,,MEDH,11,POSEIDON
8/21/2015 6:37,98.69,572,0.14,7.71,13.9,,MEDH,12,POSEIDON
8/21/2015 6:37,98.69,572,0.13,7.7,13.2,,MEDH,13,POSEIDON
8/21/2015 6:37,98.68,575,0.11,7.67,12.8,,MEDH,14,POSEIDON
8/21/2015 6:38,98.69,578,0.11,7.64,12.1,,MEDH,15,POSEIDON
8/21/2015 6:38,98.69,579,0.1,7.61,11.8,,MEDH,16,POSEIDON
8/21/2015 6:38,98.7,586,0.1,7.54,11.2,,MEDH,17,POSEIDON
8/21/2015 6:39,98.69,591,0.09,7.51,11.2,,MEDH,18,POSEIDON
8/21/2015 6:39,98.69,589,0.09,7.5,11.2,,MEDH,19,POSEIDON
8/21/2015 6:39,98.69,589,0.09,7.49,11.2,,MEDH,20,POSEIDON
