Sample,Filter,Date,People,Time(sec),Volume(mL),Chosen volume for all replicates (mL),Notes
1,ME 15 0256 ,20-Aug,Katy,0,0,,Practice Run; 6:07 AM
,,,Ben,60,80,,
,,,Pancho,95,150,,
,,,,175,200,,
,,,,180,350,,
,,,,215,400,,
,,,,-,450,,
,,,,305,500,,
,ME 15 0257,20-Aug,Katy,30,70,,
,,,Ben ,60,140,,
,,,Pancho,90,210,,
,,,,120,270,,
,,,,150,330,,
,,,,180,370,,
,,,,208,400,,
,ME 15 0258,20-Aug,Katy,30,70,,6:26 AM
,,,Ben ,60,140,,
,,,Pancho,90,210,,
,,,,120,280,,
,,,,150,350,,
,,,,170,400,,
,ME 15 0259,20-Aug,Katy,30,50-70,,6:32 AM
,,,Ben ,60,130,,
,,,,90,210,,
,,,,120,280,,
,,,,150,340,,
,,,,180,410,,
2,ME 15 0260,20-Aug,Katy,30,60,,8:16 AM; Sun coming out from behind; clouds over this sampling period
,,,Ben ,60,145,,
,,,,90,200,,
,,,,120,270,,
,,,,150,320,,
,,,,198,350,,
,ME 15 0261,20-Aug,Katy,30,65,,8:24 AM; Pop at 1:45
,,,Ben ,60,140,,
,,,,90,200,,
,,,,120,260,,
,,,,150,300,,
,,,,180,350,,
,ME 15 0262,20-Aug,Katy,30,70,,8:30:00 AM; 133 sec=pop
,,,Ben ,60,150,,
,,,,90,220,,
,,,,120,280,,
,,,,133,300,,
,,,,162,350,,
3,Filter 1,20-Aug,Ben,30,60,400,
,,,Michael,60,140,,
,,,,90,210,,
,,,,120,280,,
,,,,150,330,,
,,,,186,400,,
,Filter 2,20-Aug,Ben,30,70,,
,,,Michael,60,140,,
,,,,90,210,,
,,,,120,270,,
,,,,150,330,,
,,,,180,400,,
,Filter 3,20-Aug,Ben,30,70,,
,,,Michael,60,140,,
,,,,90,210,,
,,,,120,270,,
,,,,150,340,,
,,,,180,390,,
,,,,189,400,,
4,Filter 1,20-Aug,Josh,30,100,375,
,,,Michael,60,150,,
,,,,90,210,,
,,,,120,280,,
,,,,150,330,,
,,,,180,375,,
,Filter 2,20-Aug,Josh,30,80,,
,,,Michael,60,130,,
,,,,90,190,,
,,,,120,230,,
,,,,150,280,,
,,,,180,310,,
,,,,210,350,,
,,,,226,375,,
,Filter 3,20-Aug,Josh,30,90,,12:24 PM
,,,Michael,60,140,,
,,,,90,200,,
,,,,120,250,,
,,,,150,310,,
,,,,180,350,,
,,,,200,375,,
5,Filter 1,20-Aug,Josh,30,90,,
,,,Kylie,60,140,,
,,,Shaomei,90,200,,
,,,,120,250,,
,,,,150,300,,
,,,,180,340,,
,,,,210,390,,
,,,,30,80,,
,Filter 2,20-Aug,Josh,60,150,,
,,,Kylie,90,190,,
,,,Shaomei,120,240,,
,,,,150,290,,
,,,,180,330,,
,,,,210,360,,
,,,,240,400,,
,Filter 3,20-Aug,Josh,30,70,,2:26 PM
,,,Kylie,60,120,,
,,,Shaomei,90,155,,
,,,,120,195,,
,,,,150,230,,
,,,,180,270,,
,,,,210,300,,
,,,,240,330,,
,,,,270,360,,
,,,,300,390,,
,,,,312,400,,
6,Filter 1,20-Aug,Josh,30,80,,
,,,Kylie,60,140,,
,,,Shaomei,90,180,,
,,,,120,230,,
,,,,150,270,,
,,,,180,310,,
,,,,210,350,,
,,,,240,390,,
,,,,250,400,,
,Filter 2,20-Aug,Josh,30,60,,
,,,Kylie,60,105,,
,,,Shaomei,90,150,,
,,,,120,190,,
,,,,150,ND,,
,,,,180,250,,
,,,,210,290,,
,,,,240,320,,
,,,,270,350,,
,,,,300,375,,
,,,,325,400,,
,Filter 3,20-Aug,Josh,30,60,,4:24 PM
,,,Kylie,60,100,,
,,,Shaomei,90,140,,
,,,,120,170,,
,,,,150,200,,
,,,,180,235,,
,,,,210,260,,
,,,,240,295,,
,,,,270,325,,
,,,,300,350,,
,,,,345,380,,
,,,,360,400,,
7,,20-Aug,Sam,30,75,310,6:12 PM
,,,Josh,60,120,,
,,,,90,180,,
,,,,120,220,,
,,,,130,260,,
,,,,180,300,,
8,,20-Aug,Sam,30,50,320,
,,,Josh,60,110,,
,,,,90,160,,
,,,,120,200,,
,,,,150,230,,
,,,,180,270,,
,,,,210,300,,
9,,20-Aug,Sam,120,200,200,
,,,Alex,140,200,,
,,,,165,200,,
10,,20-Aug,Pancho,5 min,330,400,
,,,Alex,5 min,310,,
,,,,5 min,290,,
11,Filter 1,20-Aug,Pancho ,30,50,,0 - 0.5m
,,,Pame,60,100,,
,,,,90,140,,
,,,,120,180,,
,,,,150,200,,
,,,,180,240,,
,,,,210,270,,
,,,,240,300,,
,,,,270,330,,
,,,,300,350,,
,Filter 2,20-Aug,Pancho ,30,50,,
,,,Pame,60,90,,
,,,,90,100,,
,,,,120,120,,
,,,,150,150,,
,,,,180,180,,
,,,,210,200,,
,,,,240,210,,
,,,,270,220,,
,,,,300,230,,
,Filter 3,20-Aug,Pancho ,30,50,,
,,,Pame,60,80,,
,,,,90,100,,
,,,,120,130,,
,,,,150,150,,
,,,,180,170,,
,,,,210,190,,
,,,,240,210,,
,,,,270,230,,
,,,,300,250,,
12,Filter 1,20-Aug,Pancho ,30,50,,
,,,Pame,60,100,,
,,,,90,120,,
,,,,120,160,,
,,,,150,190,,
,,,,180,220,,
,,,,210,240,,
,,,,240,260,,
,,,,270,290,,
,,,,300,300,,
,Filter 2,20-Aug,Pancho ,30,100,,
,,,Pame,60,200,,
,,,,90,300,,
,,,,120,400,,
,Filter 3,20-Aug,Pancho ,30,100,,
,,,Pame,60,190,,
,,,,90,250,,
,,,,120,280,,
13,Filter 1,20-Aug,Pancho ,30,70,,
,,,Pame,60,100,,
,,,,90,160,,
,,,,120,210,,
,,,,150,260,,
,,,,180,300,,
,,,,210,320,,
,,,,240,340,,
,,,,270,350,,
,,,,300,370,,
,Filter 2,20-Aug,Pancho ,30,110,,
,,,Pame,60,230,,
,,,,90,290,,
,,,,120,350,,
,,,,150,400,,
,Filter 3,20-Aug,Pancho ,30,100,,
,,,Pame,60,190,,
,,,,90,250,,
,,,,120,320,,
,,,,150,390,,
